"silver" silver=1

"power" power=1

"prone" prone=1

"offensive" offense=1
"slanderous" offense=2

"defensive" defense=1
"turtley" defense=2

"deadeye" deadeye=1

"vorpal" crit=1

"dancing" dance=1

"glowing" glowing=1

"hasty" haste=1
"hastega-style" haste=2
"uberhasted" haste=3

"really slow" haste=-1
"superduperslow" haste=-2

"annihilating" crit=3 offense=3 prone=1 power=1 silver=1 vorpal=1
"obliterated" crit=-3 offense=-3 defense=-3 prone=-1 power=-1
"all messed up" crit=2 offense=-1 prone=1 power=-1 silver=1 vorpal=2 haste=1 deadeye=-1 defense=2

"sacred" sacred=1
"forsaken" forsaken=1

"lethal" lethal=1

"sturdy" sturdy=1

"limitless" limitless=1

"royal" royal=1
"usurped" royal=-1

"shattering" shatter=1
"rebuilding" shatter=-1

"poisonous" poison=1
"antidote-ing" poison=-1

"venomous" venom=1
"anti-venom" venom=-1

"vampiric" vampire=1
"garlic" vampire=-1

"absolutely-charged" absolute=10
"absolutely-powered" absolute=100
"absolutely-destructive" absolute=100

"sticky" sticky=1
"supersticky" sticky=2
"superdupersticky" sticky=3
"greased up" sticky=-1

"drunk" drunk=1
"sober" drunk=-1

"scary" fear=1
"fearless" fear=-1

"startling" startle=1
"soothing" startle=-1

"attractive" parry=-1
"parrying" parry=1

"punishing" punish=1
"thornless" punish=-1

"bloody" darkside=1
"safe" darkside=-1
